token_address,approval_block,attack_block,usd_loss,attack_hash,approval_hash,malicious_contract
0x5Cf04716BA20127F1E2297AdDCf4B5035000c9eb,20331565,20331617,-348822.18657914567,0xc8be80987e35b8956c2335aaee809a3750ee59117c708f63d60999d35d116805,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0xBB0E17EF65F82Ab018d8EDd776e8DD940327B28b,20331565,20331618,-349957.2858071737,0xe0858753ef576376fef8273a89848e3b0865c256cc3f3b6a35138ffc1d56cec9,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0xE41d2489571d322189246DaFA5ebDe1F4699F498,20331565,20331619,-338587.8175821084,0x478246e63b177b48a1d2b5bf8ccf9081a67f471493c4571bd764e7631453f0b7,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1,20331565,20331620,-301924.8831763333,0x5434f2453e79fabd19ade556ed0cbc6671a25f820469fe4d2ff64efda2492a23,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x090185f2135308BaD17527004364eBcC2D37e5F6,20331565,20331621,-311831.3277725711,0xd013a80c64cec2bad9270437b2a20bf781595ebcc37b5f0ce29fa71729ce1f88,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x320623b8E4fF03373931769A31Fc52A4E78B5d70,20331565,20331622,-326431.4268698978,0x6862716c9c909341f72d2c834ec97f965b1f3defa7aca612a3425bdedab73448,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x2ba592F78dB6436527729929AAf6c908497cB200,20331565,20331623,-277405.6384679394,0xc2977230ad925202cc78f2475ea2eb342b206bacb11e937648bae7bab1a9a02a,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x4d224452801ACEd8B2F0aebE155379bb5D594381,20331565,20331624,-303526.7709230928,0xb6e5d2e7a0ca5cf5586cbd372afd781ed1f2126baef72b327d6672d8003f7c1b,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x41e5560054824eA6B0732E656E3Ad64E20e94E45,20331565,20331625,-288802.2049497132,0xa5d2c8bed8faee7b987c54dfa20f6e708042fdbfc8dcfeb8fc070af396b51492,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0xb131f4A55907B10d1F0A50d8ab8FA09EC342cd74,20331565,20331626,-286824.65726343053,0x93458e35e41d94ecc8400a1fc15067ac198f7278665996e421489781d44043ce,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x888888848B652B3E3a0f34c96E00EEC0F3a23F72,20331565,20331627,-292139.1482381461,0x936786ac714cd18ea6f82daf7d1223e61af5f0019db033de03e5dc9fd4d94c61,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,20331565,20331628,-250697.1591535047,0xc4825c08c51e9d5abd8b45843765f9125d6a64bd2e67e259263c3421b871ae49,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0xD533a949740bb3306d119CC777fa900bA034cd52,20331565,20331629,-217440.14434441007,0xd005a8daea3d2ded3c861c8b3c4cd05914b9ad065d8b31459206a6d80ee1d024,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0xfF20817765cB7f73d4bde2e66e067E58D11095C2,20331565,20331630,-229716.0936083245,0xbc46f53d67351cb4269beede2cc55780e9980792d14f5b1fd19f8fbaf3039148,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4,20331565,20331631,-238671.8762145524,0x2021a7937edfcdd79e569574ff261ed9996242ed856a29791868dae0c1fc8653,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0xF57e7e7C23978C3cAEC3C3548E3D615c346e79fF,20331565,20331632,-253717.60840229644,0x373b7f4ac85009aff2e48bbb00e84052b48b7eb355582f101722ee5cbd08c2a1,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x42476F744292107e34519F9c357927074Ea3F75D,20331565,20331633,-247991.62702328374,0x72a40f92c40f09e08beec674f59f9b988342cdfc01dc2cff212571a886bf6eef,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x62D0A8458eD7719FDAF978fe5929C6D342B0bFcE,20331565,20331634,-246149.90459814167,0xd6fd83f0634d28d9f974f29dfb4cf28cd71f8df70d49cbc27f235192cc8f1ac8,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x5732046A883704404F284Ce41FfADd5b007FD668,20331565,20331635,-223760.95431869163,0xf03aeb3a0a26765e7b0ec8b76ddc31ad6f3b871e58816727fcb4a9eb9e8ea9b8,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x8f8221aFbB33998d8584A2B05749bA73c37a938a,20331565,20331636,-220697.09643159932,0xa83277e264421575b45111c665ec94d13bca0b1c3e8351c8c4190bb465459a24,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26,20331565,20331637,-209935.21528257383,0x30fa96877ca8662ce1d6d01c885259be3026f64dae183aabdb8943c028f48991,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x0AbdAce70D3790235af448C88547603b945604ea,20331565,20331638,-193684.75346487993,0x2de3a9b948f7cc20b95c706c8330aa505e138fa6ae47025a5b30743c0a11cb5a,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0xEd04915c23f00A313a544955524EB7DBD823143d,20331565,20331639,-211656.0613025949,0x43db61e32a87c8f8d69788bca1401102b330591176db2d8944ce01e6c4aeb9ad,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x589891a198195061Cb8ad1a75357A3b7DbaDD7Bc,20331565,20331640,-188029.74411963884,0xeebe69326a70013adf36abd1a669321a9e5aadf35f5e284844cfe7bcfe92fcf4,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
0x419D0d8BdD9aF5e606Ae2232ed285Aff190E711b,20331565,20331641,-197440.7612286747,0x2bd0416af1993a51efa8605fc8055bfb1e09515911e0313d1ec70bfdacd01627,0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4
